'Simulation','Policy','nPublic','nPrivate','nCar','PatientProb','nPatient','nPublicSaved','nPrivateSaved','nCarSaved','nTotalSaved','nDead','nAlive','PublicCost','PrivateCost','TotalCost'
'Simulation 1',1,3,2,0,0.8,4007,105,60,0,165,3757,85,15000,59750,74750
'Simulation 2',1,3,2,0,0.8,3962,126,62,0,188,3686,88,15000,58500,73500
'Simulation 3',1,3,2,0,0.8,4092,112,67,0,179,3823,90,15000,60250,75250
'Simulation 4',1,3,2,0,0.8,3986,133,64,0,197,3696,93,15000,58900,73900
'Simulation 5',1,3,2,0,0.8,3934,125,76,0,201,3644,89,15000,58750,73750
'Simulation 6',1,3,2,0,0.8,4009,143,87,0,230,3685,94,15000,60500,75500
'Simulation 7',1,3,2,0,0.8,3957,119,100,0,219,3663,75,15000,59300,74300
'Simulation 8',1,3,2,0,0.8,3937,118,94,0,212,3638,87,15000,59850,74850
'Simulation 9',1,3,2,0,0.8,4032,136,73,0,209,3729,94,15000,59950,74950
'Simulation 10',1,3,2,0,0.8,4008,106,92,0,198,3723,87,15000,58850,73850
'Simulation 11',1,3,2,0,0.8,4024,108,72,0,180,3754,90,15000,59300,74300
'Simulation 12',1,3,2,0,0.8,3983,124,79,0,203,3691,89,15000,59150,74150
'Simulation 13',1,3,2,0,0.8,4012,110,74,0,184,3742,86,15000,59950,74950
'Simulation 14',1,3,2,0,0.8,3982,121,67,0,188,3713,81,15000,59300,74300
'Simulation 15',1,3,2,0,0.8,3928,109,87,0,196,3641,91,15000,59450,74450
'Simulation 16',1,3,2,0,0.8,4003,123,81,0,204,3710,89,15000,59600,74600
'Simulation 17',1,3,2,0,0.8,4010,115,75,0,190,3737,83,15000,58450,73450
'Simulation 18',1,3,2,0,0.8,4020,125,78,0,203,3728,89,15000,59650,74650
'Simulation 19',1,3,2,0,0.8,3963,124,76,0,200,3684,79,15000,60400,75400
'Simulation 20',1,3,2,0,0.8,4001,140,71,0,211,3704,86,15000,57350,72350
'Simulation 21',1,3,2,0,0.8,3971,139,87,0,226,3652,93,15000,58650,73650
'Simulation 22',1,3,2,0,0.8,3964,125,77,0,202,3668,94,15000,59750,74750
'Simulation 23',1,3,2,0,0.8,4020,110,81,0,191,3743,86,15000,59600,74600
'Simulation 24',1,3,2,0,0.8,4028,97,88,0,185,3762,81,15000,59450,74450
'Simulation 25',1,3,2,0,0.8,3966,110,95,0,205,3675,86,15000,59150,74150
'AveragedSim',1,3.0,2.0,0.0,0.8,3991.96,120.12,78.52,0.0,198.64,3705.92,87.4,15000.0,59352.0,74352.0
'Simulation 26',1,3,2,0,0.85,4296,106,70,0,176,4030,90,15000,62050,77050
'Simulation 27',1,3,2,0,0.85,4266,109,73,0,182,3991,93,15000,60750,75750
'Simulation 28',1,3,2,0,0.85,4246,128,71,0,199,3953,94,15000,60000,75000
'Simulation 29',1,3,2,0,0.85,4239,125,76,0,201,3950,88,15000,61850,76850
'Simulation 30',1,3,2,0,0.85,4283,89,62,0,151,4043,89,15000,61500,76500
'Simulation 31',1,3,2,0,0.85,4242,121,84,0,205,3943,94,15000,61350,76350
'Simulation 32',1,3,2,0,0.85,4254,108,76,0,184,3981,89,15000,61350,76350
'Simulation 33',1,3,2,0,0.85,4266,112,62,0,174,4006,86,15000,59700,74700
'Simulation 34',1,3,2,0,0.85,4210,115,70,0,185,3936,89,15000,62150,77150
'Simulation 35',1,3,2,0,0.85,4240,106,93,0,199,3947,94,15000,63400,78400
'Simulation 36',1,3,2,0,0.85,4244,125,88,0,213,3943,88,15000,63350,78350
'Simulation 37',1,3,2,0,0.85,4275,127,64,0,191,3985,99,15000,61250,76250
'Simulation 38',1,3,2,0,0.85,4264,113,53,0,166,4006,92,15000,62150,77150
'Simulation 39',1,3,2,0,0.85,4245,102,94,0,196,3959,90,15000,60800,75800
'Simulation 40',1,3,2,0,0.85,4229,136,74,0,210,3921,98,15000,61650,76650
'Simulation 41',1,3,2,0,0.85,4214,113,78,0,191,3929,94,15000,58800,73800
'Simulation 42',1,3,2,0,0.85,4232,121,68,0,189,3946,97,15000,61650,76650
'Simulation 43',1,3,2,0,0.85,4279,133,77,0,210,3970,99,15000,62900,77900
'Simulation 44',1,3,2,0,0.85,4265,113,58,0,171,3997,97,15000,61200,76200
'Simulation 45',1,3,2,0,0.85,4249,107,73,0,180,3978,91,15000,61350,76350
'Simulation 46',1,3,2,0,0.85,4259,111,71,0,182,3983,94,15000,62850,77850
'Simulation 47',1,3,2,0,0.85,4274,82,57,0,139,4044,91,15000,60450,75450
'Simulation 48',1,3,2,0,0.85,4229,101,70,0,171,3971,87,15000,61150,76150
'Simulation 49',1,3,2,0,0.85,4245,117,65,0,182,3968,95,15000,61200,76200
'Simulation 50',1,3,2,0,0.85,4241,99,64,0,163,3982,96,15000,60750,75750
'AveragedSim',1,3.0,2.0,0.0,0.85,4251.44,112.76,71.64,0.0,184.4,3974.48,92.56,15000.0,61424.0,76424.0
'Simulation 51',1,3,2,0,0.9,4540,106,72,0,178,4266,96,15000,62400,77400
'Simulation 52',1,3,2,0,0.9,4458,119,62,0,181,4182,95,15000,61650,76650
'Simulation 53',1,3,2,0,0.9,4488,120,59,0,179,4212,97,15000,62050,77050
'Simulation 54',1,3,2,0,0.9,4487,121,62,0,183,4204,100,15000,62750,77750
'Simulation 55',1,3,2,0,0.9,4488,107,72,0,179,4217,92,15000,63050,78050
'Simulation 56',1,3,2,0,0.9,4505,102,74,0,176,4234,95,15000,64000,79000
'Simulation 57',1,3,2,0,0.9,4463,100,67,0,167,4196,100,15000,65250,80250
'Simulation 58',1,3,2,0,0.9,4516,106,70,0,176,4242,98,15000,63600,78600
'Simulation 59',1,3,2,0,0.9,4511,102,68,0,170,4242,99,15000,65550,80550
'Simulation 60',1,3,2,0,0.9,4521,101,83,0,184,4241,96,15000,63100,78100
'Simulation 61',1,3,2,0,0.9,4531,107,62,0,169,4263,99,15000,62650,77650
'Simulation 62',1,3,2,0,0.9,4507,101,58,0,159,4248,100,15000,62750,77750
'Simulation 63',1,3,2,0,0.9,4474,95,72,0,167,4212,95,15000,62400,77400
'Simulation 64',1,3,2,0,0.9,4514,101,70,0,171,4245,98,15000,62900,77900
'Simulation 65',1,3,2,0,0.9,4505,96,60,0,156,4251,98,15000,62400,77400
'Simulation 66',1,3,2,0,0.9,4465,110,77,0,187,4179,99,15000,64750,79750
'Simulation 67',1,3,2,0,0.9,4539,98,71,0,169,4273,97,15000,63000,78000
'Simulation 68',1,3,2,0,0.9,4470,109,81,0,190,4187,93,15000,61650,76650
'Simulation 69',1,3,2,0,0.9,4523,118,77,0,195,4227,101,15000,62350,77350
'Simulation 70',1,3,2,0,0.9,4522,113,73,0,186,4236,100,15000,62700,77700
'Simulation 71',1,3,2,0,0.9,4514,115,72,0,187,4226,101,15000,63600,78600
'Simulation 72',1,3,2,0,0.9,4489,134,73,0,207,4186,96,15000,61200,76200
'Simulation 73',1,3,2,0,0.9,4486,116,89,0,205,4180,101,15000,61850,76850
'Simulation 74',1,3,2,0,0.9,4498,104,59,0,163,4230,105,15000,64150,79150
'Simulation 75',1,3,2,0,0.9,4521,106,49,0,155,4267,99,15000,64400,79400
'AveragedSim',1,3.0,2.0,0.0,0.9,4501.4,108.28,69.28,0.0,177.56,4225.84,98.0,15000.0,63046.0,78046.0
'Simulation 76',1,3,2,0,0.95,4765,103,51,0,154,4506,105,15000,64550,79550
'Simulation 77',1,3,2,0,0.95,4774,112,58,0,170,4499,105,15000,65650,80650
'Simulation 78',1,3,2,0,0.95,4738,87,51,0,138,4492,108,15000,64000,79000
'Simulation 79',1,3,2,0,0.95,4746,100,57,0,157,4485,104,15000,63800,78800
'Simulation 80',1,3,2,0,0.95,4771,112,79,0,191,4480,100,15000,65500,80500
'Simulation 81',1,3,2,0,0.95,4741,107,59,0,166,4476,99,15000,64850,79850
'Simulation 82',1,3,2,0,0.95,4748,121,78,0,199,4449,100,15000,64950,79950
'Simulation 83',1,3,2,0,0.95,4749,97,54,0,151,4492,106,15000,65900,80900
'Simulation 84',1,3,2,0,0.95,4758,111,82,0,193,4462,103,15000,66300,81300
'Simulation 85',1,3,2,0,0.95,4740,100,65,0,165,4472,103,15000,66950,81950
'Simulation 86',1,3,2,0,0.95,4739,119,70,0,189,4450,100,15000,65450,80450
'Simulation 87',1,3,2,0,0.95,4739,105,84,0,189,4441,109,15000,66500,81500
'Simulation 88',1,3,2,0,0.95,4744,129,75,0,204,4439,101,15000,65000,80000
'Simulation 89',1,3,2,0,0.95,4749,104,78,0,182,4463,104,15000,65100,80100
'Simulation 90',1,3,2,0,0.95,4741,107,59,0,166,4476,99,15000,64850,79850
'Simulation 91',1,3,2,0,0.95,4745,77,58,0,135,4508,102,15000,64200,79200
'Simulation 92',1,3,2,0,0.95,4735,114,71,0,185,4445,105,15000,64200,79200
'Simulation 93',1,3,2,0,0.95,4726,100,74,0,174,4450,102,15000,63250,78250
'Simulation 94',1,3,2,0,0.95,4738,95,71,0,166,4468,104,15000,64650,79650
'Simulation 95',1,3,2,0,0.95,4747,120,68,0,188,4458,101,15000,64900,79900
'Simulation 96',1,3,2,0,0.95,4768,99,58,0,157,4507,104,15000,63650,78650
'Simulation 97',1,3,2,0,0.95,4739,95,78,0,173,4463,103,15000,63750,78750
'Simulation 98',1,3,2,0,0.95,4775,98,69,0,167,4504,104,15000,66200,81200
'Simulation 99',1,3,2,0,0.95,4748,125,81,0,206,4437,105,15000,63750,78750
'Simulation 100',1,3,2,0,0.95,4737,106,76,0,182,4451,104,15000,65300,80300
'AveragedSim',1,3.0,2.0,0.0,0.95,4748.0,105.72,68.16,0.0,173.88,4470.92,103.2,15000.0,64928.0,79928.0
'Simulation 101',1,3,2,0,1.0,5000,110,71,0,181,4706,113,15000,65850,80850
'Simulation 102',1,3,2,0,1.0,5000,111,59,0,170,4720,110,15000,67500,82500
'Simulation 103',1,3,2,0,1.0,5000,107,65,0,172,4719,109,15000,66350,81350
'Simulation 104',1,3,2,0,1.0,5000,75,57,0,132,4758,110,15000,66200,81200
'Simulation 105',1,3,2,0,1.0,5000,106,56,0,162,4731,107,15000,65750,80750
'Simulation 106',1,3,2,0,1.0,5000,108,53,0,161,4732,107,15000,67450,82450
'Simulation 107',1,3,2,0,1.0,5000,93,60,0,153,4738,109,15000,66150,81150
'Simulation 108',1,3,2,0,1.0,5000,82,66,0,148,4744,108,15000,67900,82900
'Simulation 109',1,3,2,0,1.0,5000,99,53,0,152,4740,108,15000,65950,80950
'Simulation 110',1,3,2,0,1.0,5000,107,80,0,187,4704,109,15000,68000,83000
'Simulation 111',1,3,2,0,1.0,5000,94,67,0,161,4729,110,15000,65450,80450
'Simulation 112',1,3,2,0,1.0,5000,122,70,0,192,4699,109,15000,65600,80600
'Simulation 113',1,3,2,0,1.0,5000,128,67,0,195,4699,106,15000,67250,82250
'Simulation 114',1,3,2,0,1.0,5000,103,73,0,176,4715,109,15000,65450,80450
'Simulation 115',1,3,2,0,1.0,5000,93,79,0,172,4719,109,15000,65250,80250
'Simulation 116',1,3,2,0,1.0,5000,94,69,0,163,4725,112,15000,66350,81350
'Simulation 117',1,3,2,0,1.0,5000,101,79,0,180,4712,108,15000,65500,80500
'Simulation 118',1,3,2,0,1.0,5000,85,60,0,145,4749,106,15000,66750,81750
'Simulation 119',1,3,2,0,1.0,5000,106,77,0,183,4709,108,15000,66100,81100
'Simulation 120',1,3,2,0,1.0,5000,92,63,0,155,4735,110,15000,66700,81700
'Simulation 121',1,3,2,0,1.0,5000,97,54,0,151,4742,107,15000,67450,82450
'Simulation 122',1,3,2,0,1.0,5000,113,47,0,160,4732,108,15000,66300,81300
'Simulation 123',1,3,2,0,1.0,5000,81,53,0,134,4758,108,15000,67300,82300
'Simulation 124',1,3,2,0,1.0,5000,105,60,0,165,4727,108,15000,65250,80250
'Simulation 125',1,3,2,0,1.0,5000,94,50,0,144,4749,107,15000,67200,82200
