'Simulation','Policy','nPublic','nPrivate','nCar','PatientProb','nPatient','nPublicSaved','nPrivateSaved','nCarSaved','nTotalSaved','Dead','Alive','PublicCost','PrivateCost','TotalCost'
'Simulation 1',1,4,1,20,0.05,264,261,0,3,264,0,0,20000,0,20000
'Simulation 2',1,4,1,20,0.05,237,232,0,2,234,0,3,20000,0,20000
'Simulation 3',1,4,1,20,0.05,229,219,0,7,226,0,3,20000,0,20000
'AveragedSim',1,4.0,1.0,20.0,0.05,243.33333333333334,237.33333333333334,0.0,4.0,241.33333333333334,0.0,2.0,20000.0,0.0,20000.0
'Simulation 4',1,4,1,20,0.1,468,416,1,46,463,0,5,20000,50,20050
'Simulation 5',1,4,1,20,0.1,478,431,3,41,475,0,3,20000,150,20150
'Simulation 6',1,4,1,20,0.1,469,439,1,28,468,0,1,20000,50,20050
'AveragedSim',1,4.0,1.0,20.0,0.1,471.6666666666667,428.6666666666667,1.6666666666666667,38.333333333333336,468.6666666666667,0.0,3.0,20000.0,83.33333333333333,20083.333333333332
'Simulation 7',1,4,1,20,0.15,774,577,18,177,772,0,2,20000,900,20900
'Simulation 8',1,4,1,20,0.15,769,582,15,167,764,0,5,20000,750,20750
'Simulation 9',1,4,1,20,0.15,765,566,15,180,761,0,4,20000,750,20750
'AveragedSim',1,4.0,1.0,20.0,0.15,769.3333333333334,575.0,16.0,174.66666666666666,765.6666666666666,0.0,3.6666666666666665,20000.0,800.0,20800.0
'Simulation 10',1,4,1,20,0.2,1014,632,30,347,1009,0,5,20000,1500,21500
'Simulation 11',1,4,1,20,0.2,1007,619,37,347,1003,0,4,20000,1850,21850
'Simulation 12',1,4,1,20,0.2,1010,619,35,352,1006,0,4,20000,1750,21750
'AveragedSim',1,4.0,1.0,20.0,0.2,1010.3333333333334,623.3333333333334,34.0,348.6666666666667,1006.0,0.0,4.333333333333333,20000.0,1700.0,21700.0
'Simulation 13',1,4,1,20,0.25,1232,667,61,500,1228,0,4,20000,3050,23050
'Simulation 14',1,4,1,20,0.25,1281,638,72,565,1275,0,6,20000,3600,23600
'Simulation 15',1,4,1,20,0.25,1255,654,58,538,1250,0,5,20000,2900,22900
'AveragedSim',1,4.0,1.0,20.0,0.25,1256.0,653.0,63.666666666666664,534.3333333333334,1251.0,0.0,5.0,20000.0,3183.3333333333335,23183.333333333332
'Simulation 16',1,4,1,20,0.3,1528,638,104,773,1515,0,13,20000,5250,25250
'Simulation 17',1,4,1,20,0.3,1497,629,107,751,1487,0,10,20000,5400,25400
'Simulation 18',1,4,1,20,0.3,1528,651,99,773,1523,0,5,20000,4950,24950
'AveragedSim',1,4.0,1.0,20.0,0.3,1517.6666666666667,639.3333333333334,103.33333333333333,765.6666666666666,1508.3333333333333,0.0,9.333333333333334,20000.0,5200.0,25200.0
'Simulation 19',1,4,1,20,0.35,1729,634,112,967,1713,0,16,20000,5650,25650
'Simulation 20',1,4,1,20,0.35,1715,639,120,938,1697,5,13,20000,6100,26100
'Simulation 21',1,4,1,20,0.35,1671,655,110,892,1657,1,13,20000,5600,25600
'AveragedSim',1,4.0,1.0,20.0,0.35,1705.0,642.6666666666666,114.0,932.3333333333334,1689.0,2.0,14.0,20000.0,5783.333333333333,25783.333333333332
'Simulation 22',1,4,1,20,0.4,2108,581,144,1346,2071,20,17,20000,7300,27300
'Simulation 23',1,4,1,20,0.4,2012,625,146,1211,1982,19,11,20000,7400,27400
'Simulation 24',1,4,1,20,0.4,2015,608,140,1249,1997,4,14,20000,7100,27100
'AveragedSim',1,4.0,1.0,20.0,0.4,2045.0,604.6666666666666,143.33333333333334,1268.6666666666667,2016.6666666666667,14.333333333333334,14.0,20000.0,7266.666666666667,27266.666666666668
'Simulation 25',1,4,1,20,0.45,2233,571,146,1464,2181,33,19,20000,7500,27500
'Simulation 26',1,4,1,20,0.45,2308,591,144,1523,2258,29,21,20000,7500,27500
'Simulation 27',1,4,1,20,0.45,2250,636,142,1447,2225,6,19,20000,7250,27250
'AveragedSim',1,4.0,1.0,20.0,0.45,2263.6666666666665,599.3333333333334,144.0,1478.0,2221.3333333333335,22.666666666666668,19.666666666666668,20000.0,7416.666666666667,27416.666666666668
'Simulation 28',1,4,1,20,0.5,2494,546,135,1722,2403,73,18,20000,7500,27500
'Simulation 29',1,4,1,20,0.5,2466,564,135,1676,2375,72,19,20000,7500,27500
'Simulation 30',1,4,1,20,0.5,2447,630,149,1625,2404,25,18,20000,7900,27900
'AveragedSim',1,4.0,1.0,20.0,0.5,2469.0,580.0,139.66666666666666,1674.3333333333333,2394.0,56.666666666666664,18.333333333333332,20000.0,7633.333333333333,27633.333333333332
'Simulation 31',1,4,1,20,0.55,2722,556,130,1935,2621,77,24,20000,7400,27400
'Simulation 32',1,4,1,20,0.55,2755,532,140,1947,2619,110,26,20000,7950,27950
'Simulation 33',1,4,1,20,0.55,2789,507,119,1978,2604,159,26,20000,7800,27800
'AveragedSim',1,4.0,1.0,20.0,0.55,2755.3333333333335,531.6666666666666,129.66666666666666,1953.3333333333333,2614.6666666666665,115.33333333333333,25.333333333333332,20000.0,7716.666666666667,27716.666666666668
'Simulation 34',1,4,1,20,0.6,3037,428,109,2164,2701,305,31,20000,8650,28650
'Simulation 35',1,4,1,20,0.6,2941,502,133,2126,2761,161,19,20000,8150,28150
'Simulation 36',1,4,1,20,0.6,3048,494,133,2161,2788,223,37,20000,9000,29000
'AveragedSim',1,4.0,1.0,20.0,0.6,3008.6666666666665,474.6666666666667,125.0,2150.3333333333335,2750.0,229.66666666666666,29.0,20000.0,8600.0,28600.0
'Simulation 37',1,4,1,20,0.65,3225,426,117,2299,2842,354,29,20000,9350,29350
'Simulation 38',1,4,1,20,0.65,3304,360,101,2374,2835,430,39,20000,9300,29300
'Simulation 39',1,4,1,20,0.65,3277,399,102,2319,2820,428,29,20000,9350,29350
'AveragedSim',1,4.0,1.0,20.0,0.65,3268.6666666666665,395.0,106.66666666666667,2330.6666666666665,2832.3333333333335,404.0,32.333333333333336,20000.0,9333.333333333334,29333.333333333332
'Simulation 40',1,4,1,20,0.7,3508,357,86,2510,2953,520,35,20000,9900,29900
'Simulation 41',1,4,1,20,0.7,3556,372,99,2556,3027,482,47,20000,9750,29750
'Simulation 42',1,4,1,20,0.7,3513,422,87,2524,3033,439,41,20000,9250,29250
'AveragedSim',1,4.0,1.0,20.0,0.7,3525.6666666666665,383.6666666666667,90.66666666666667,2530.0,3004.3333333333335,480.3333333333333,41.0,20000.0,9633.333333333334,29633.333333333332
'Simulation 43',1,4,1,20,0.75,3750,350,79,2663,3092,614,44,20000,10250,30250
'Simulation 44',1,4,1,20,0.75,3762,337,89,2691,3117,604,41,20000,10400,30400
'Simulation 45',1,4,1,20,0.75,3760,361,101,2684,3146,581,33,20000,10500,30500
'AveragedSim',1,4.0,1.0,20.0,0.75,3757.3333333333335,349.3333333333333,89.66666666666667,2679.3333333333335,3118.3333333333335,599.6666666666666,39.333333333333336,20000.0,10383.333333333334,30383.333333333332
'Simulation 46',1,4,1,20,0.8,3987,365,86,2905,3356,596,35,20000,10750,30750
'Simulation 47',1,4,1,20,0.8,4007,350,82,2884,3316,646,45,20000,10800,30800
'Simulation 48',1,4,1,20,0.8,3990,288,87,2877,3252,691,47,20000,10700,30700
'AveragedSim',1,4.0,1.0,20.0,0.8,3994.6666666666665,334.3333333333333,85.0,2888.6666666666665,3308.0,644.3333333333334,42.333333333333336,20000.0,10750.0,30750.0
'Simulation 49',1,4,1,20,0.85,4244,315,86,3000,3401,800,43,20000,12200,32200
'Simulation 50',1,4,1,20,0.85,4284,293,77,3011,3381,858,45,20000,12350,32350
'Simulation 51',1,4,1,20,0.85,4296,290,76,3056,3422,833,41,20000,11750,31750
'AveragedSim',1,4.0,1.0,20.0,0.85,4274.666666666667,299.3333333333333,79.66666666666667,3022.3333333333335,3401.3333333333335,830.3333333333334,43.0,20000.0,12100.0,32100.0
'Simulation 52',1,4,1,20,0.9,4489,251,74,3091,3416,1022,51,20000,13700,33700
'Simulation 53',1,4,1,20,0.9,4508,299,66,3199,3564,889,55,20000,12450,32450
'Simulation 54',1,4,1,20,0.9,4516,281,75,3250,3606,861,49,20000,12100,32100
'AveragedSim',1,4.0,1.0,20.0,0.9,4504.333333333333,277.0,71.66666666666667,3180.0,3528.6666666666665,924.0,51.666666666666664,20000.0,12750.0,32750.0
'Simulation 55',1,4,1,20,0.95,4763,217,63,3323,3603,1117,43,20000,14250,34250
