'Simulation','Policy','nPublic','nPrivate','nCar','PatientProb','nPatient','nPublicSaved','nPrivateSaved','nCarSaved','nTotalSaved','nDead','nAlive','PublicCost','PrivateCost','TotalCost'
'Simulation 1',1,4,1,20,0.05,252,252,0,0,252,0,0,20000,0,20000
'Simulation 2',1,4,1,20,0.05,248,247,0,1,248,0,0,20000,0,20000
'AveragedSim',1,4.0,1.0,20.0,0.05,250.0,249.5,0.0,0.5,250.0,0.0,0.0,20000.0,0.0,20000.0
'Simulation 3',1,4,1,20,0.1,484,441,1,42,484,0,0,20000,50,20050
'Simulation 4',1,4,1,20,0.1,515,448,4,63,515,0,0,20000,200,20200
'AveragedSim',1,4.0,1.0,20.0,0.1,499.5,444.5,2.5,52.5,499.5,0.0,0.0,20000.0,125.0,20125.0
'Simulation 5',1,4,1,20,0.15,751,570,12,167,749,0,2,20000,600,20600
'Simulation 6',1,4,1,20,0.15,750,590,8,149,747,0,3,20000,400,20400
'AveragedSim',1,4.0,1.0,20.0,0.15,750.5,580.0,10.0,158.0,748.0,0.0,2.5,20000.0,500.0,20500.0
'Simulation 7',1,4,1,20,0.2,1000,617,36,341,994,0,6,20000,1800,21800
'Simulation 8',1,4,1,20,0.2,1023,661,26,333,1020,0,3,20000,1300,21300
'AveragedSim',1,4.0,1.0,20.0,0.2,1011.5,639.0,31.0,337.0,1007.0,0.0,4.5,20000.0,1550.0,21550.0
'Simulation 9',1,4,1,20,0.25,1285,633,71,576,1280,1,4,20000,3550,23550
'Simulation 10',1,4,1,20,0.25,1258,640,67,541,1248,0,10,20000,3350,23350
'AveragedSim',1,4.0,1.0,20.0,0.25,1271.5,636.5,69.0,558.5,1264.0,0.5,7.0,20000.0,3450.0,23450.0
'Simulation 11',1,4,1,20,0.3,1473,655,95,717,1467,0,6,20000,4750,24750
'Simulation 12',1,4,1,20,0.3,1477,624,99,740,1463,0,14,20000,5000,25000
'AveragedSim',1,4.0,1.0,20.0,0.3,1475.0,639.5,97.0,728.5,1465.0,0.0,10.0,20000.0,4875.0,24875.0
'Simulation 13',1,4,1,20,0.35,1700,609,121,958,1688,1,11,20000,6050,26050
'Simulation 14',1,4,1,20,0.35,1730,616,131,965,1712,1,17,20000,6600,26600
'AveragedSim',1,4.0,1.0,20.0,0.35,1715.0,612.5,126.0,961.5,1700.0,1.0,14.0,20000.0,6325.0,26325.0
'Simulation 15',1,4,1,20,0.4,2057,588,137,1289,2014,26,17,20000,7200,27200
'Simulation 16',1,4,1,20,0.4,1943,588,139,1194,1921,5,17,20000,7050,27050
'AveragedSim',1,4.0,1.0,20.0,0.4,2000.0,588.0,138.0,1241.5,1967.5,15.5,17.0,20000.0,7125.0,27125.0
'Simulation 17',1,4,1,20,0.45,2224,588,137,1452,2177,28,19,20000,7100,27100
'Simulation 18',1,4,1,20,0.45,2287,627,144,1491,2262,13,12,20000,7350,27350
'AveragedSim',1,4.0,1.0,20.0,0.45,2255.5,607.5,140.5,1471.5,2219.5,20.5,15.5,20000.0,7225.0,27225.0
'Simulation 19',1,4,1,20,0.5,2510,589,145,1712,2446,41,23,20000,7750,27750
'Simulation 20',1,4,1,20,0.5,2517,565,140,1717,2422,77,18,20000,7850,27850
'AveragedSim',1,4.0,1.0,20.0,0.5,2513.5,577.0,142.5,1714.5,2434.0,59.0,20.5,20000.0,7800.0,27800.0
'Simulation 21',1,4,1,20,0.55,2746,519,124,1932,2575,153,18,20000,7750,27750
'Simulation 22',1,4,1,20,0.55,2742,561,137,1924,2622,97,23,20000,7950,27950
'AveragedSim',1,4.0,1.0,20.0,0.55,2744.0,540.0,130.5,1928.0,2598.5,125.0,20.5,20000.0,7850.0,27850.0
'Simulation 23',1,4,1,20,0.6,2978,482,117,2125,2724,218,36,20000,8000,28000
'Simulation 24',1,4,1,20,0.6,2977,468,119,2137,2724,220,33,20000,8000,28000
'AveragedSim',1,4.0,1.0,20.0,0.6,2977.5,475.0,118.0,2131.0,2724.0,219.0,34.5,20000.0,8000.0,28000.0
'Simulation 25',1,4,1,20,0.65,3229,462,110,2341,2913,284,32,20000,8500,28500
'Simulation 26',1,4,1,20,0.65,3242,421,98,2374,2893,324,25,20000,8350,28350
'AveragedSim',1,4.0,1.0,20.0,0.65,3235.5,441.5,104.0,2357.5,2903.0,304.0,28.5,20000.0,8425.0,28425.0
'Simulation 27',1,4,1,20,0.7,3515,409,96,2514,3019,457,39,20000,9800,29800
'Simulation 28',1,4,1,20,0.7,3534,356,103,2530,2989,513,32,20000,9750,29750
'AveragedSim',1,4.0,1.0,20.0,0.7,3524.5,382.5,99.5,2522.0,3004.0,485.0,35.5,20000.0,9775.0,29775.0
'Simulation 29',1,4,1,20,0.75,3802,392,97,2769,3258,510,34,20000,9850,29850
'Simulation 30',1,4,1,20,0.75,3775,379,88,2707,3174,567,34,20000,10400,30400
'AveragedSim',1,4.0,1.0,20.0,0.75,3788.5,385.5,92.5,2738.0,3216.0,538.5,34.0,20000.0,10125.0,30125.0
'Simulation 31',1,4,1,20,0.8,4002,303,78,2905,3286,678,38,20000,10550,30550
'Simulation 32',1,4,1,20,0.8,4023,307,75,2866,3248,729,46,20000,11250,31250
'AveragedSim',1,4.0,1.0,20.0,0.8,4012.5,305.0,76.5,2885.5,3267.0,703.5,42.0,20000.0,10900.0,30900.0
