'Simulation','Policy','n_Public_Ambulance','n_Private_Ambulance','n_Car','PatientProbability','Patients_Created','Public_Ambulance_Saved','Private_Ambulance_Saved','Car_Saved','Dead','Alive','Public_Ambulance_Cost','Private_Ambulance_Cost','Total_Cost'
'Simulation 1',1,3,0,0,0.15,1554,1372,0,0,176,6,30000,0,30000
'Simulation 2',1,3,0,0,0.15,1526,1398,0,0,122,6,30000,0,30000
'Simulation 3',1,3,0,0,0.15,1539,1399,0,0,129,11,30000,0,30000
'Simulation 4',1,3,0,0,0.15,1579,1444,0,0,124,11,30000,0,30000
'Simulation 5',1,3,0,0,0.15,1440,1287,0,0,147,6,30000,0,30000
'Simulation 6',1,3,0,0,0.15,1479,1364,0,0,112,3,30000,0,30000
'Simulation 7',1,3,0,0,0.15,1555,1403,0,0,148,4,30000,0,30000
'Simulation 8',1,3,0,0,0.15,1486,1372,0,0,112,2,30000,0,30000
'Simulation 9',1,3,0,0,0.15,1549,1395,0,0,150,4,30000,0,30000
'Simulation 10',1,3,0,0,0.15,1479,1370,0,0,100,9,30000,0,30000
'Simulation 11',1,3,0,0,0.15,1475,1338,0,0,131,6,30000,0,30000
'Simulation 12',1,3,0,0,0.15,1526,1369,0,0,150,7,30000,0,30000
'Simulation 13',1,3,0,0,0.15,1500,1344,0,0,145,11,30000,0,30000
'Simulation 14',1,3,0,0,0.15,1507,1359,0,0,143,5,30000,0,30000
'Simulation 15',1,3,0,0,0.15,1459,1335,0,0,113,11,30000,0,30000
'Simulation 16',1,3,0,0,0.15,1477,1368,0,0,103,6,30000,0,30000
'Simulation 17',1,3,0,0,0.15,1511,1369,0,0,132,10,30000,0,30000
'Simulation 18',1,3,0,0,0.15,1500,1352,0,0,140,8,30000,0,30000
'Simulation 19',1,3,0,0,0.15,1521,1374,0,0,141,6,30000,0,30000
'Simulation 20',1,3,0,0,0.15,1519,1381,0,0,127,11,30000,0,30000
'AveragedSim',1,3.0,0.0,0.0,0.15,1509.05,1369.65,0.0,0.0,132.25,7.15,30000.0,0.0,30000.0
'Simulation 21',1,3,0,0,0.2,1988,1627,0,0,351,10,30000,0,30000
'Simulation 22',1,3,0,0,0.2,2050,1649,0,0,393,8,30000,0,30000
'Simulation 23',1,3,0,0,0.2,1949,1537,0,0,402,10,30000,0,30000
'Simulation 24',1,3,0,0,0.2,1990,1601,0,0,377,12,30000,0,30000
'Simulation 25',1,3,0,0,0.2,2000,1616,0,0,372,12,30000,0,30000
'Simulation 26',1,3,0,0,0.2,1946,1575,0,0,363,8,30000,0,30000
'Simulation 27',1,3,0,0,0.2,2010,1545,0,0,449,16,30000,0,30000
'Simulation 28',1,3,0,0,0.2,1979,1596,0,0,374,9,30000,0,30000
'Simulation 29',1,3,0,0,0.2,1991,1597,0,0,382,12,30000,0,30000
'Simulation 30',1,3,0,0,0.2,1924,1516,0,0,401,7,30000,0,30000
'Simulation 31',1,3,0,0,0.2,1995,1548,0,0,436,11,30000,0,30000
'Simulation 32',1,3,0,0,0.2,1992,1540,0,0,437,15,30000,0,30000
'Simulation 33',1,3,0,0,0.2,1963,1506,0,0,443,14,30000,0,30000
'Simulation 34',1,3,0,0,0.2,2002,1627,0,0,369,6,30000,0,30000
'Simulation 35',1,3,0,0,0.2,1951,1557,0,0,380,14,30000,0,30000
