Policy,nPublic,PatientProb,PatientCreated,PublicSaved,Dead,Alive,DeathRate
1,3,0.15,1515,711,786,18,0.518811881
1,3,0.15,1528,721,787,20,0.515052356
1,3,0.15,1468,720,738,10,0.502724796
1,3,0.15,1510,640,859,11,0.568874172
1,3,0.15,1518,729,765,24,0.503952569
1,3,0.15,1457,696,747,14,0.512697323
1,3,0.15,1551,638,901,12,0.580915538
1,3,0.15,1541,700,827,14,0.536664504
1,3,0.15,1506,661,825,20,0.547808765
1,3,0.15,1471,675,784,12,0.532970768
1,3,0.15,1480,735,737,8,0.497972973
1,3,0.15,1461,722,724,15,0.495550992
1,3,0.15,1496,778,701,17,0.468582888
1,3,0.15,1454,681,752,21,0.517193948
1,3,0.15,1458,716,727,15,0.498628258
1,3,0.15,1517,772,728,17,0.479894529
1,3,0.15,1486,706,763,17,0.51345895
1,3,0.15,1472,667,789,16,0.536005435
1,3,0.15,1509,612,882,15,0.584493042
1,3,0.15,1454,771,662,21,0.455295736
1,3,0.15,1513,669,819,25,0.541308658
1,3,0.15,1518,659,847,12,0.557971014
1,3,0.15,1494,708,777,9,0.520080321
1,3,0.15,1467,792,662,13,0.451261077
1,3,0.15,1519,675,837,7,0.551020408
1,3,0.15,1450,801,632,17,0.435862069
1,3,0.15,1461,715,731,15,0.500342231
1,3,0.15,1568,737,823,8,0.524872449
1,3,0.15,1492,690,785,17,0.52613941
1,3,0.15,1490,746,723,21,0.485234899
1,3,0.15,1532,722,799,11,0.52154047
1,3,0.15,1493,730,747,16,0.500334896
1,3,0.15,1485,636,836,13,0.562962963
1,3,0.15,1478,758,709,11,0.4797023
1,3,0.15,1567,723,829,15,0.529036375
1,3,0.15,1456,704,734,18,0.504120879
1,3,0.15,1505,729,763,13,0.506976744
1,3,0.15,1451,769,668,14,0.460372157
1,3,0.15,1486,675,796,15,0.535666218
1,3,0.15,1562,662,878,22,0.562099872
1,3,0.15,1485,732,730,23,0.491582492
1,3,0.15,1520,698,809,13,0.532236842
1,3,0.15,1441,758,663,20,0.460097155
1,3,0.15,1461,777,671,13,0.45927447
1,3,0.15,1472,714,745,13,0.50611413
1,3,0.15,1594,639,943,12,0.591593476
1,3,0.15,1551,658,878,15,0.566086396
1,3,0.15,1533,663,848,22,0.553163731
1,3,0.15,1479,734,731,14,0.494252874
1,3,0.15,1503,686,795,22,0.528942116
1,3,0.15,1485,691,788,6,0.530639731
1,3,0.15,1524,681,820,23,0.538057743
1,3,0.15,1529,739,779,11,0.509483322
1,3,0.15,1502,696,796,10,0.529960053
1,3,0.15,1500,644,835,21,0.556666667
1,3,0.15,1486,675,796,15,0.535666218
1,3,0.15,1467,807,640,20,0.436264485
1,3,0.15,1510,734,761,15,0.50397351
1,3,0.15,1608,681,914,13,0.56840796
1,3,0.15,1498,698,787,13,0.525367156
1,3,0.15,1475,739,725,11,0.491525424
1,3,0.15,1546,661,868,17,0.5614489
1,3,0.15,1484,770,694,20,0.467654987
1,3,0.15,1501,722,764,15,0.508994004
1,3,0.15,1488,641,833,14,0.559811828
1,3,0.15,1456,688,758,10,0.520604396
1,3,0.15,1456,781,666,9,0.457417582
