'Simulation','Policy','n_Public_Ambulance','n_Private_Ambulance','n_Car','PatientProbability','Patients_Created','Public_Ambulance_Saved','Private_Ambulance_Saved',SaveRate,'Car_Saved','Dead','Alive','Public_Ambulance_Cost','Private_Ambulance_Cost','Total_Cost'
'Simulation 1',1,4,1,0,0,0,0,0,0,0,0,0,20000,0,20000
'Simulation 2',1,4,1,0,0,0,0,0,0,0,0,0,20000,0,20000
'Simulation 3',1,4,1,0,0,0,0,0,0,0,0,0,20000,0,20000
'AveragedSim',1,4,1,0,0,0,0,0,0,0,0,0,20000,0,20000
'Simulation 4',1,4,1,0,0.05,255,253,0,0.992156863,0,0,2,20000,0,20000
'Simulation 5',1,4,1,0,0.05,266,262,0,0.984962406,0,0,4,20000,0,20000
'Simulation 6',1,4,1,0,0.05,281,278,0,0.989323843,0,0,3,20000,0,20000
'AveragedSim',1,4,1,0,0.05,267.3333333,264.3333333,0,0.988778055,0,0,3,20000,0,20000
'Simulation 7',1,4,1,0,0.1,505,489,11,0.99009901,0,0,5,20000,550,20550
'Simulation 8',1,4,1,0,0.1,499,484,11,0.991983968,0,0,4,20000,550,20550
'Simulation 9',1,4,1,0,0.1,491,475,13,0.99389002,0,0,3,20000,650,20650
'AveragedSim',1,4,1,0,0.1,498.3333333,482.6666667,11.66666667,0.991973244,0,0,4,20000,583.3333333,20583.33333
'Simulation 10',1,4,1,0,0.15,741,658,69,0.981106613,0,0,14,20000,3500,23500
'Simulation 11',1,4,1,0,0.15,772,660,98,0.981865285,0,2,12,20000,4950,24950
'Simulation 12',1,4,1,0,0.15,779,647,100,0.958921694,0,9,23,20000,5100,25100
'AveragedSim',1,4,1,0,0.15,764,655,89,0.97382199,0,3.666666667,16.33333333,20000,4516.666667,24516.66667
'Simulation 13',1,4,1,0,0.2,985,630,145,0.78680203,0,192,18,20000,9450,29450
'Simulation 14',1,4,1,0,0.2,986,616,161,0.788032454,0,192,17,20000,9600,29600
'Simulation 15',1,4,1,0,0.2,1016,574,146,0.708661417,0,277,19,20000,10000,30000
'AveragedSim',1,4,1,0,0.2,995.6666667,606.6666667,150.6666667,0.760629394,0,220.3333333,18,20000,9683.333333,29683.33333
'Simulation 16',1,4,1,0,0.25,1228,411,108,0.422638436,0,678,31,20000,11900,31900
'Simulation 17',1,4,1,0,0.25,1217,489,122,0.502054232,0,577,29,20000,11950,31950
'Simulation 18',1,4,1,0,0.25,1208,435,95,0.438741722,0,658,20,20000,12050,32050
'AveragedSim',1,4,1,0,0.25,1217.666667,445,108.3333333,0.454421024,0,637.6666667,26.66666667,20000,11966.66667,31966.66667
'Simulation 19',1,4,1,0,0.3,1489,325,73,0.267293486,0,1054,37,20000,14750,34750
'Simulation 20',1,4,1,0,0.3,1499,348,80,0.285523682,0,1043,28,20000,14850,34850
'Simulation 21',1,4,1,0,0.3,1412,392,89,0.340651558,0,910,21,20000,13850,33850
'AveragedSim',1,4,1,0,0.3,1466.666667,355,80.66666667,0.297045455,0,1002.333333,28.66666667,20000,14483.33333,34483.33333
'Simulation 22',1,4,1,0,0.35,1776,305,89,0.221846847,0,1342,40,20000,17450,37450
'Simulation 23',1,4,1,0,0.35,1763,312,72,0.21781055,0,1350,29,20000,16800,36800
'Simulation 24',1,4,1,0,0.35,1769,373,77,0.254381006,0,1284,35,20000,16200,36200
'AveragedSim',1,4,1,0,0.35,1769.333333,330,79.33333333,0.231348907,0,1325.333333,34.66666667,20000,16816.66667,36816.66667
'Simulation 25',1,4,1,0,0.4,1953,292,68,0.184331797,0,1548,45,20000,19500,39500
'Simulation 26',1,4,1,0,0.4,1996,271,88,0.179859719,0,1595,42,20000,19950,39950
'Simulation 27',1,4,1,0,0.4,2004,253,58,0.155189621,0,1645,48,20000,18700,38700
'AveragedSim',1,4,1,0,0.4,1984.333333,272,71.33333333,0.173022006,0,1596,45,20000,19383.33333,39383.33333
'Simulation 28',1,4,1,0,0.45,2263,230,42,0.120194432,0,1953,38,20000,20450,40450
'Simulation 29',1,4,1,0,0.45,2302,217,56,0.118592528,0,1971,58,20000,21500,41500
'Simulation 30',1,4,1,0,0.45,2266,265,65,0.145631068,0,1884,52,20000,21400,41400
'AveragedSim',1,4,1,0,0.45,2277,237.3333333,54.33333333,0.128092519,0,1936,49.33333333,20000,21116.66667,41116.66667
'Simulation 31',1,4,1,0,0.5,2509,245,60,0.121562375,0,2157,47,20000,22650,42650
'Simulation 32',1,4,1,0,0.5,2558,219,48,0.104378421,0,2230,61,20000,23300,43300
'Simulation 33',1,4,1,0,0.5,2549,186,51,0.092977638,0,2250,62,20000,23250,43250
'AveragedSim',1,4,1,0,0.5,2538.666667,216.6666667,53,0.106223739,0,2212.333333,56.66666667,20000,23066.66667,43066.66667
'Simulation 34',1,4,1,0,0.55,2741,169,49,0.079533017,0,2466,57,20000,24150,44150
'Simulation 35',1,4,1,0,0.55,2682,225,50,0.102535421,0,2340,67,20000,23350,43350
'Simulation 36',1,4,1,0,0.55,2677,217,54,0.101232723,0,2356,50,20000,24050,44050
'AveragedSim',1,4,1,0,0.55,2700,203.6666667,51,0.094320988,0,2387.333333,58,20000,23850,43850
'Simulation 37',1,4,1,0,0.6,3047,185,36,0.072530358,0,2756,70,20000,25700,45700
'Simulation 38',1,4,1,0,0.6,3020,225,50,0.091059603,0,2683,62,20000,25700,45700
'Simulation 39',1,4,1,0,0.6,2999,217,49,0.088696232,0,2673,60,20000,25750,45750
'AveragedSim',1,4,1,0,0.6,3022,209,45,0.084050298,0,2704,64,20000,25716.66667,45716.66667
'Simulation 40',1,4,1,0,0.65,3249,217,62,0.085872576,0,2904,66,20000,26500,46500
'Simulation 41',1,4,1,0,0.65,3252,191,35,0.069495695,0,2957,69,20000,26000,46000
'Simulation 42',1,4,1,0,0.65,3277,169,41,0.064083003,0,2996,71,20000,26100,46100
'AveragedSim',1,4,1,0,0.65,3259.333333,192.3333333,46,0.073123338,0,2952.333333,68.66666667,20000,26200,46200
'Simulation 43',1,4,1,0,0.7,3470,170,33,0.058501441,0,3197,70,20000,26900,46900
'Simulation 44',1,4,1,0,0.7,3487,196,38,0.067106395,0,3182,71,20000,28100,48100
'Simulation 45',1,4,1,0,0.7,3542,181,46,0.064088086,0,3233,82,20000,28400,48400
'AveragedSim',1,4,1,0,0.7,3499.666667,182.3333333,39,0.063244118,0,3204,74.33333333,20000,27800,47800
'Simulation 46',1,4,1,0,0.75,3762,153,41,0.051568315,0,3486,82,20000,30150,50150
'Simulation 47',1,4,1,0,0.75,3774,180,38,0.057763646,0,3473,83,20000,29850,49850
'Simulation 48',1,4,1,0,0.75,3784,138,39,0.046775899,0,3518,89,20000,28200,48200
'AveragedSim',1,4,1,0,0.75,3773.333333,157,39.33333333,0.052031802,0,3492.333333,84.66666667,20000,29400,49400
'Simulation 49',1,4,1,0,0.8,4049,146,29,0.043220548,0,3793,81,20000,30100,50100
'Simulation 50',1,4,1,0,0.8,3981,148,39,0.046973122,0,3707,87,20000,31400,51400
'Simulation 51',1,4,1,0,0.8,4004,175,47,0.055444555,0,3692,90,20000,30000,50000
'AveragedSim',1,4,1,0,0.8,4011.333333,156.3333333,38.33333333,0.048529167,0,3730.666667,86,20000,30500,50500
'Simulation 52',1,4,1,0,0.85,4290,162,43,0.047785548,0,3986,99,20000,31450,51450
'Simulation 53',1,4,1,0,0.85,4185,144,26,0.040621266,0,3927,88,20000,29700,49700
'Simulation 54',1,4,1,0,0.85,4264,158,40,0.046435272,0,3971,95,20000,32200,52200
'AveragedSim',1,4,1,0,0.85,4246.333333,154.6666667,36.33333333,0.044979983,0,3961.333333,94,20000,31116.66667,51116.66667
'Simulation 55',1,4,1,0,0.9,4505,131,23,0.03418424,0,4251,100,20000,31600,51600
'Simulation 56',1,4,1,0,0.9,4464,164,46,0.047043011,0,4151,103,20000,32250,52250
'Simulation 57',1,4,1,0,0.9,4485,138,38,0.039241918,0,4217,92,20000,32100,52100
'AveragedSim',1,4,1,0,0.9,4484.666667,144.3333333,35.66666667,0.040136762,0,4206.333333,98.33333333,20000,31983.33333,51983.33333
'Simulation 58',1,4,1,0,0.95,4753,143,37,0.037870818,0,4470,103,20000,31600,51600
'Simulation 59',1,4,1,0,0.95,4756,141,38,0.037636669,0,4476,101,20000,33250,53250
'Simulation 60',1,4,1,0,0.95,4730,131,35,0.035095137,0,4463,101,20000,33400,53400
'AveragedSim',1,4,1,0,0.95,4746.333333,138.3333333,36.66666667,0.036870567,0,4469.666667,101.6666667,20000,32750,52750
'Simulation 61',1,4,1,0,1,5000,150,30,0.036,0,4711,109,20000,34150,54150
'Simulation 62',1,4,1,0,1,5000,118,28,0.0292,0,4747,107,20000,32100,52100
'Simulation 63',1,4,1,0,1,5000,143,42,0.037,0,4707,108,20000,34350,54350
'AveragedSim',1,4,1,0,1,5000,137,33.33333333,0.034066667,0,4721.666667,108,20000,33533.33333,53533.33333
'Simulation 1',1,3,2,0,0,0,0,0,0,0,0,0,15000,0,15000
'Simulation 2',1,3,2,0,0,0,0,0,0,0,0,0,15000,0,15000
'Simulation 3',1,3,2,0,0,0,0,0,0,0,0,0,15000,0,15000
'AveragedSim',1,3,2,0,0,0,0,0,0,0,0,0,15000,0,15000
'Simulation 4',1,3,2,0,0.05,223,221,1,0.995515695,0,0,1,15000,50,15050
'Simulation 5',1,3,2,0,0.05,287,279,8,1,0,0,0,15000,400,15400
'Simulation 6',1,3,2,0,0.05,248,244,4,1,0,0,0,15000,200,15200
'AveragedSim',1,3,2,0,0.05,252.6666667,248,4.333333333,0.998680739,0,0,0.333333333,15000,216.6666667,15216.66667
'Simulation 7',1,3,2,0,0.1,494,413,80,0.997975709,0,0,1,15000,4000,19000
'Simulation 8',1,3,2,0,0.1,509,428,79,0.996070727,0,0,2,15000,3950,18950
'Simulation 9',1,3,2,0,0.1,522,434,85,0.994252874,0,0,3,15000,4250,19250
'AveragedSim',1,3,2,0,0.1,508.3333333,425,81.33333333,0.996065574,0,0,2,15000,4066.666667,19066.66667
'Simulation 10',1,3,2,0,0.15,742,518,211,0.982479784,0,4,9,15000,10850,25850
'Simulation 11',1,3,2,0,0.15,726,528,191,0.990358127,0,0,7,15000,9550,24550
'Simulation 12',1,3,2,0,0.15,740,513,216,0.985135135,0,7,4,15000,11000,26000
'AveragedSim',1,3,2,0,0.15,736,519.6666667,206,0.985960145,0,3.666666667,6.666666667,15000,10466.66667,25466.66667
'Simulation 13',1,3,2,0,0.2,988,458,300,0.767206478,0,205,25,15000,19350,34350
'Simulation 14',1,3,2,0,0.2,1009,451,288,0.732408325,0,251,19,15000,19900,34900
