'Simulation','Policy','nPublic','nPrivate','nCar','PatientProb','nPatient','nPublicSaved','nPrivateSaved','nCarSaved','nTotalSaved','Dead','Alive','PublicCost','PrivateCost','TotalCost',RescueRate
'Simulation 1',1,0,0,20,0.05,258,0,0,230,230,26,2,0,0,0,0.891472868
'Simulation 2',1,0,0,20,0.05,240,0,0,209,209,30,1,0,0,0,0.870833333
'Simulation 3',1,0,0,20,0.05,236,0,0,209,209,26,1,0,0,0,0.88559322
'AveragedSim',1,0,0,20,0.05,244.6666667,0,0,216,216,27.33333333,1.333333333,0,0,0,0.882833787
'Simulation 4',1,0,0,20,0.1,506,0,0,423,423,79,4,0,0,0,0.835968379
'Simulation 5',1,0,0,20,0.1,487,0,0,431,431,49,7,0,0,0,0.885010267
'Simulation 6',1,0,0,20,0.1,512,0,0,427,427,80,5,0,0,0,0.833984375
'AveragedSim',1,0,0,20,0.1,501.6666667,0,0,427,427,69.33333333,5.333333333,0,0,0,0.851162791
'Simulation 7',1,0,0,20,0.15,747,0,0,648,648,94,5,0,0,0,0.86746988
'Simulation 8',1,0,0,20,0.15,761,0,0,660,660,95,6,0,0,0,0.867279895
'Simulation 9',1,0,0,20,0.15,762,0,0,655,655,94,13,0,0,0,0.859580052
'AveragedSim',1,0,0,20,0.15,756.6666667,0,0,654.3333333,654.3333333,94.33333333,8,0,0,0,0.864757709
'Simulation 10',1,0,0,20,0.2,1038,0,0,882,882,151,5,0,0,0,0.849710983
'Simulation 11',1,0,0,20,0.2,943,0,0,821,821,112,10,0,0,0,0.870625663
'Simulation 12',1,0,0,20,0.2,1053,0,0,866,866,178,9,0,0,0,0.822412156
'AveragedSim',1,0,0,20,0.2,1011.333333,0,0,856.3333333,856.3333333,147,8,0,0,0,0.846736981
'Simulation 13',1,0,0,20,0.25,1254,0,0,1080,1080,165,9,0,0,0,0.861244019
'Simulation 14',1,0,0,20,0.25,1196,0,0,1004,1004,182,10,0,0,0,0.839464883
'Simulation 15',1,0,0,20,0.25,1270,0,0,1045,1045,213,12,0,0,0,0.822834646
'AveragedSim',1,0,0,20,0.25,1240,0,0,1043,1043,186.6666667,10.33333333,0,0,0,0.841129032
'Simulation 16',1,0,0,20,0.3,1565,0,0,1296,1296,256,13,0,0,0,0.828115016
'Simulation 17',1,0,0,20,0.3,1462,0,0,1227,1227,220,15,0,0,0,0.839261286
'Simulation 18',1,0,0,20,0.3,1520,0,0,1249,1249,255,16,0,0,0,0.821710526
'AveragedSim',1,0,0,20,0.3,1515.666667,0,0,1257.333333,1257.333333,243.6666667,14.66666667,0,0,0,0.82955795
'Simulation 19',1,0,0,20,0.35,1766,0,0,1443,1443,303,20,0,0,0,0.817100793
'Simulation 20',1,0,0,20,0.35,1780,0,0,1498,1498,264,18,0,0,0,0.841573034
'Simulation 21',1,0,0,20,0.35,1751,0,0,1459,1459,280,12,0,0,0,0.83323815
'AveragedSim',1,0,0,20,0.35,1765.666667,0,0,1466.666667,1466.666667,282.3333333,16.66666667,0,0,0,0.830658864
'Simulation 22',1,0,0,20,0.4,1970,0,0,1640,1640,313,17,0,0,0,0.83248731
'Simulation 23',1,0,0,20,0.4,2014,0,0,1633,1633,365,16,0,0,0,0.81082423
'Simulation 24',1,0,0,20,0.4,1993,0,0,1631,1631,341,21,0,0,0,0.818364275
'AveragedSim',1,0,0,20,0.4,1992.333333,0,0,1634.666667,1634.666667,339.6666667,18,0,0,0,0.820478501
'Simulation 25',1,0,0,20,0.45,2277,0,0,1841,1841,415,21,0,0,0,0.808519982
'Simulation 26',1,0,0,20,0.45,2257,0,0,1828,1828,413,16,0,0,0,0.809924679
'Simulation 27',1,0,0,20,0.45,2259,0,0,1822,1822,410,27,0,0,0,0.806551571
'AveragedSim',1,0,0,20,0.45,2264.333333,0,0,1830.333333,1830.333333,412.6666667,21.33333333,0,0,0,0.808332107
'Simulation 28',1,0,0,20,0.5,2506,0,0,2019,2019,469,18,0,0,0,0.805666401
'Simulation 29',1,0,0,20,0.5,2515,0,0,2008,2008,481,26,0,0,0,0.798409543
