'Simulation','Policy','nPublic','nPrivate','nCar','PatientProb','nPatient','nPublicSaved','nPrivateSaved','nCarSaved','nTotalSaved','Dead','Alive','PublicCost','PrivateCost','TotalCost'
'Simulation 1',1,0,0,10,0.05,219,0,0,169,169,50,0,0,0,0
'Simulation 2',1,0,0,10,0.05,237,0,0,175,175,60,2,0,0,0
'Simulation 3',1,0,0,10,0.05,266,0,0,207,207,57,2,0,0,0
'AveragedSim',1,0.0,0.0,10.0,0.05,240.66666666666666,0.0,0.0,183.66666666666666,183.66666666666666,55.666666666666664,1.3333333333333333,0.0,0.0,0.0
'Simulation 4',1,0,0,10,0.1,495,0,0,364,364,122,9,0,0,0
'Simulation 5',1,0,0,10,0.1,514,0,0,351,351,159,4,0,0,0
'Simulation 6',1,0,0,10,0.1,487,0,0,334,334,144,9,0,0,0
'AveragedSim',1,0.0,0.0,10.0,0.1,498.6666666666667,0.0,0.0,349.6666666666667,349.6666666666667,141.66666666666666,7.333333333333333,0.0,0.0,0.0
'Simulation 7',1,0,0,10,0.15,759,0,0,517,517,231,11,0,0,0
'Simulation 8',1,0,0,10,0.15,755,0,0,519,519,231,5,0,0,0
'Simulation 9',1,0,0,10,0.15,776,0,0,531,531,239,6,0,0,0
'AveragedSim',1,0.0,0.0,10.0,0.15,763.3333333333334,0.0,0.0,522.3333333333334,522.3333333333334,233.66666666666666,7.333333333333333,0.0,0.0,0.0
'Simulation 10',1,0,0,10,0.2,1027,0,0,727,727,289,11,0,0,0
'Simulation 11',1,0,0,10,0.2,1036,0,0,703,703,318,15,0,0,0
'Simulation 12',1,0,0,10,0.2,1052,0,0,741,741,299,12,0,0,0
'AveragedSim',1,0.0,0.0,10.0,0.2,1038.3333333333333,0.0,0.0,723.6666666666666,723.6666666666666,302.0,12.666666666666666,0.0,0.0,0.0
'Simulation 13',1,0,0,10,0.25,1212,0,0,792,792,408,12,0,0,0
'Simulation 14',1,0,0,10,0.25,1209,0,0,827,827,370,12,0,0,0
'Simulation 15',1,0,0,10,0.25,1272,0,0,867,867,387,18,0,0,0
'AveragedSim',1,0.0,0.0,10.0,0.25,1231.0,0.0,0.0,828.6666666666666,828.6666666666666,388.3333333333333,14.0,0.0,0.0,0.0
'Simulation 16',1,0,0,10,0.3,1491,0,0,998,998,473,20,0,0,0
'Simulation 17',1,0,0,10,0.3,1536,0,0,1000,1000,518,18,0,0,0
'Simulation 18',1,0,0,10,0.3,1513,0,0,1045,1045,455,13,0,0,0
'AveragedSim',1,0.0,0.0,10.0,0.3,1513.3333333333333,0.0,0.0,1014.3333333333334,1014.3333333333334,482.0,17.0,0.0,0.0,0.0
'Simulation 19',1,0,0,10,0.35,1727,0,0,1123,1123,586,18,0,0,0
'Simulation 20',1,0,0,10,0.35,1728,0,0,1102,1102,602,24,0,0,0
'Simulation 21',1,0,0,10,0.35,1746,0,0,1148,1148,576,22,0,0,0
'AveragedSim',1,0.0,0.0,10.0,0.35,1733.6666666666667,0.0,0.0,1124.3333333333333,1124.3333333333333,588.0,21.333333333333332,0.0,0.0,0.0
'Simulation 22',1,0,0,10,0.4,1979,0,0,1227,1227,727,25,0,0,0
'Simulation 23',1,0,0,10,0.4,1967,0,0,1261,1261,685,21,0,0,0
'Simulation 24',1,0,0,10,0.4,1972,0,0,1293,1293,647,32,0,0,0
'AveragedSim',1,0.0,0.0,10.0,0.4,1972.6666666666667,0.0,0.0,1260.3333333333333,1260.3333333333333,686.3333333333334,26.0,0.0,0.0,0.0
'Simulation 25',1,0,0,10,0.45,2176,0,0,1338,1338,805,33,0,0,0
'Simulation 26',1,0,0,10,0.45,2245,0,0,1390,1390,821,34,0,0,0
'Simulation 27',1,0,0,10,0.45,2186,0,0,1356,1356,799,31,0,0,0
