Simulation,Policy,nPublic,nPrivate,nCar,PatientProb,nPatient,nPublicSaved,nPrivateSaved,nCarSaved,nTotalSaved,Dead,Alive,PublicCost,PrivateCost,TotalCost,DeathRate
AveragedSim,1,0,0,10,0.05,240.6666667,0,0,183.6666667,183.6666667,55.66666667,1.333333333,0,0,0,0.231301939
AveragedSim,1,0,0,10,0.1,498.6666667,0,0,349.6666667,349.6666667,141.6666667,7.333333333,0,0,0,0.284090909
AveragedSim,1,0,0,10,0.15,763.3333333,0,0,522.3333333,522.3333333,233.6666667,7.333333333,0,0,0,0.306113537
AveragedSim,1,0,0,10,0.2,1038.333333,0,0,723.6666667,723.6666667,302,12.66666667,0,0,0,0.290850722
AveragedSim,1,0,0,10,0.25,1231,0,0,828.6666667,828.6666667,388.3333333,14,0,0,0,0.315461684
AveragedSim,1,0,0,10,0.3,1513.333333,0,0,1014.333333,1014.333333,482,17,0,0,0,0.318502203
AveragedSim,1,0,0,10,0.35,1733.666667,0,0,1124.333333,1124.333333,588,21.33333333,0,0,0,0.339165545
AveragedSim,1,0,0,10,0.4,1972.666667,0,0,1260.333333,1260.333333,686.3333333,26,0,0,0,0.347921595
AveragedSim,1,0,0,10,0.45,2202.333333,0,0,1361.333333,1361.333333,808.3333333,32.66666667,0,0,0,0.367034963
AveragedSim,1,0,0,10,0.5,2504,0,0,1491,1491,979,34,0,0,0,0.390974441
AveragedSim,1,0,0,10,0.55,2743.666667,0,0,1607,1607,1099.333333,37.33333333,0,0,0,0.400680355
AveragedSim,1,0,0,10,0.6,3005,0,0,1747,1747,1214.666667,43.33333333,0,0,0,0.404215197
AveragedSim,1,0,0,10,0.65,3260,0,0,1781,1781,1435,44,0,0,0,0.440184049
AveragedSim,1,0,0,10,0.7,3549,0,0,1892.333333,1892.333333,1602.666667,54,0,0,0,0.451582606
AveragedSim,1,0,0,10,0.75,3754.666667,0,0,1926,1926,1774.333333,54.33333333,0,0,0,0.472567471
AveragedSim,1,0,0,10,0.8,3995,0,0,1980,1980,1957,58,0,0,0,0.489862328
AveragedSim,1,0,0,10,0.85,4243.666667,0,0,2093,2093,2087.333333,63.33333333,0,0,0,0.491870238
AveragedSim,1,0,0,10,0.9,4489.666667,0,0,2224.666667,2224.666667,2196.666667,68.33333333,0,0,0,0.489271661
AveragedSim,1,0,0,10,0.95,4752.666667,0,0,2176.333333,2176.333333,2506,70.33333333,0,0,0,0.527282929
AveragedSim,1,0,0,10,1,5000,0,0,2245,2245,2678.666667,76.33333333,0,0,0,0.535733333
AveragedSim,1,0,0,20,0.05,244.6666667,0,0,216,216,27.33333333,1.333333333,0,0,0,0.111716621
AveragedSim,1,0,0,20,0.1,501.6666667,0,0,427,427,69.33333333,5.333333333,0,0,0,0.13820598
AveragedSim,1,0,0,20,0.15,756.6666667,0,0,654.3333333,654.3333333,94.33333333,8,0,0,0,0.124669604
AveragedSim,1,0,0,20,0.2,1011.333333,0,0,856.3333333,856.3333333,147,8,0,0,0,0.14535267
AveragedSim,1,0,0,20,0.25,1240,0,0,1043,1043,186.6666667,10.33333333,0,0,0,0.150537634
AveragedSim,1,0,0,20,0.3,1515.666667,0,0,1257.333333,1257.333333,243.6666667,14.66666667,0,0,0,0.16076534
AveragedSim,1,0,0,20,0.35,1765.666667,0,0,1466.666667,1466.666667,282.3333333,16.66666667,0,0,0,0.159901831
AveragedSim,1,0,0,20,0.4,1992.333333,0,0,1634.666667,1634.666667,339.6666667,18,0,0,0,0.170486866
AveragedSim,1,0,0,20,0.45,2264.333333,0,0,1830.333333,1830.333333,412.6666667,21.33333333,0,0,0,0.18224643
AveragedSim,1,0,0,20,0.5,2510,0,0,2010.333333,2010.333333,477.3333333,22.33333333,0,0,0,0.190172643
AveragedSim,1,0,0,20,0.55,2745.666667,0,0,2182.333333,2182.333333,538.6666667,24.66666667,0,0,0,0.196187932
AveragedSim,1,0,0,20,0.6,3013.666667,0,0,2342,2342,641,30.66666667,0,0,0,0.21269771
AveragedSim,1,0,0,20,0.65,3292.333333,0,0,2529.666667,2529.666667,735,27.66666667,0,0,0,0.223245925
AveragedSim,1,0,0,20,0.7,3505,0,0,2652,2652,815,38,0,0,0,0.232524964
AveragedSim,1,0,0,20,0.75,3745,0,0,2771.666667,2771.666667,926,47.33333333,0,0,0,0.247263017
AveragedSim,1,0,0,20,0.8,3988,0,0,2902,2902,1046,40,0,0,0,0.262286861
AveragedSim,1,0,0,20,0.85,4254.666667,0,0,3059.666667,3059.666667,1145.666667,49.33333333,0,0,0,0.269272955
AveragedSim,1,0,0,20,0.9,4510,0,0,3211.666667,3211.666667,1243.666667,54.66666667,0,0,0,0.275757576
AveragedSim,1,0,0,20,0.95,4761,0,0,3364.333333,3364.333333,1346.333333,50.33333333,0,0,0,0.282783729
AveragedSim,1,0,0,20,1,5000,0,0,3444.666667,3444.666667,1498.333333,57,0,0,0,0.299666667
Simulation 1,1,0,0,10,0.05,219,0,0,169,169,50,0,0,0,0,0.228310502
Simulation 1,1,0,0,20,0.05,258,0,0,230,230,26,2,0,0,0,0.100775194
Simulation 10,1,0,0,10,0.2,1027,0,0,727,727,289,11,0,0,0,0.281402142
Simulation 10,1,0,0,20,0.2,1038,0,0,882,882,151,5,0,0,0,0.145472062
Simulation 11,1,0,0,10,0.2,1036,0,0,703,703,318,15,0,0,0,0.306949807
Simulation 11,1,0,0,20,0.2,943,0,0,821,821,112,10,0,0,0,0.118769883
Simulation 12,1,0,0,10,0.2,1052,0,0,741,741,299,12,0,0,0,0.284220532
Simulation 12,1,0,0,20,0.2,1053,0,0,866,866,178,9,0,0,0,0.169040836
Simulation 13,1,0,0,10,0.25,1212,0,0,792,792,408,12,0,0,0,0.336633663
Simulation 13,1,0,0,20,0.25,1254,0,0,1080,1080,165,9,0,0,0,0.131578947
Simulation 14,1,0,0,10,0.25,1209,0,0,827,827,370,12,0,0,0,0.306038048
Simulation 14,1,0,0,20,0.25,1196,0,0,1004,1004,182,10,0,0,0,0.152173913
Simulation 15,1,0,0,10,0.25,1272,0,0,867,867,387,18,0,0,0,0.304245283
Simulation 15,1,0,0,20,0.25,1270,0,0,1045,1045,213,12,0,0,0,0.167716535
Simulation 16,1,0,0,10,0.3,1491,0,0,998,998,473,20,0,0,0,0.317236754
Simulation 16,1,0,0,20,0.3,1565,0,0,1296,1296,256,13,0,0,0,0.163578275
Simulation 17,1,0,0,10,0.3,1536,0,0,1000,1000,518,18,0,0,0,0.337239583
Simulation 17,1,0,0,20,0.3,1462,0,0,1227,1227,220,15,0,0,0,0.150478796
Simulation 18,1,0,0,10,0.3,1513,0,0,1045,1045,455,13,0,0,0,0.300727032
Simulation 18,1,0,0,20,0.3,1520,0,0,1249,1249,255,16,0,0,0,0.167763158
Simulation 19,1,0,0,10,0.35,1727,0,0,1123,1123,586,18,0,0,0,0.339316734
Simulation 19,1,0,0,20,0.35,1766,0,0,1443,1443,303,20,0,0,0,0.171574179
Simulation 2,1,0,0,10,0.05,237,0,0,175,175,60,2,0,0,0,0.253164557
Simulation 2,1,0,0,20,0.05,240,0,0,209,209,30,1,0,0,0,0.125
Simulation 20,1,0,0,10,0.35,1728,0,0,1102,1102,602,24,0,0,0,0.34837963
Simulation 20,1,0,0,20,0.35,1780,0,0,1498,1498,264,18,0,0,0,0.148314607
Simulation 21,1,0,0,10,0.35,1746,0,0,1148,1148,576,22,0,0,0,0.329896907
Simulation 21,1,0,0,20,0.35,1751,0,0,1459,1459,280,12,0,0,0,0.159908624
Simulation 22,1,0,0,10,0.4,1979,0,0,1227,1227,727,25,0,0,0,0.367357251
Simulation 22,1,0,0,20,0.4,1970,0,0,1640,1640,313,17,0,0,0,0.158883249
Simulation 23,1,0,0,10,0.4,1967,0,0,1261,1261,685,21,0,0,0,0.34824606
Simulation 23,1,0,0,20,0.4,2014,0,0,1633,1633,365,16,0,0,0,0.18123138
Simulation 24,1,0,0,10,0.4,1972,0,0,1293,1293,647,32,0,0,0,0.328093306
Simulation 24,1,0,0,20,0.4,1993,0,0,1631,1631,341,21,0,0,0,0.171098846
Simulation 25,1,0,0,10,0.45,2176,0,0,1338,1338,805,33,0,0,0,0.369944853
Simulation 25,1,0,0,20,0.45,2277,0,0,1841,1841,415,21,0,0,0,0.182257356
Simulation 26,1,0,0,10,0.45,2245,0,0,1390,1390,821,34,0,0,0,0.365701559
Simulation 26,1,0,0,20,0.45,2257,0,0,1828,1828,413,16,0,0,0,0.182986265
Simulation 27,1,0,0,10,0.45,2186,0,0,1356,1356,799,31,0,0,0,0.365507777
Simulation 27,1,0,0,20,0.45,2259,0,0,1822,1822,410,27,0,0,0,0.181496237
Simulation 28,1,0,0,10,0.5,2517,0,0,1494,1494,988,35,0,0,0,0.392530791
Simulation 28,1,0,0,20,0.5,2506,0,0,2019,2019,469,18,0,0,0,0.187150838
Simulation 29,1,0,0,10,0.5,2504,0,0,1454,1454,1012,38,0,0,0,0.404153355
Simulation 29,1,0,0,20,0.5,2515,0,0,2008,2008,481,26,0,0,0,0.191252485
Simulation 3,1,0,0,10,0.05,266,0,0,207,207,57,2,0,0,0,0.214285714
Simulation 3,1,0,0,20,0.05,236,0,0,209,209,26,1,0,0,0,0.110169492
Simulation 30,1,0,0,10,0.5,2491,0,0,1525,1525,937,29,0,0,0,0.376154155
Simulation 30,1,0,0,20,0.5,2509,0,0,2004,2004,482,23,0,0,0,0.19210841
Simulation 31,1,0,0,10,0.55,2738,0,0,1601,1601,1092,45,0,0,0,0.398831264
Simulation 31,1,0,0,20,0.55,2760,0,0,2174,2174,553,33,0,0,0,0.200362319
Simulation 32,1,0,0,10,0.55,2716,0,0,1609,1609,1077,30,0,0,0,0.396539028
Simulation 32,1,0,0,20,0.55,2721,0,0,2183,2183,521,17,0,0,0,0.191473723
Simulation 33,1,0,0,10,0.55,2777,0,0,1611,1611,1129,37,0,0,0,0.406553835
Simulation 33,1,0,0,20,0.55,2756,0,0,2190,2190,542,24,0,0,0,0.196661829
Simulation 34,1,0,0,10,0.6,2988,0,0,1709,1709,1233,46,0,0,0,0.412650602
Simulation 34,1,0,0,20,0.6,3001,0,0,2341,2341,628,32,0,0,0,0.209263579
Simulation 35,1,0,0,10,0.6,2997,0,0,1769,1769,1184,44,0,0,0,0.395061728
Simulation 35,1,0,0,20,0.6,3015,0,0,2337,2337,657,21,0,0,0,0.217910448
Simulation 36,1,0,0,10,0.6,3030,0,0,1763,1763,1227,40,0,0,0,0.404950495
Simulation 36,1,0,0,20,0.6,3025,0,0,2348,2348,638,39,0,0,0,0.210909091
Simulation 37,1,0,0,10,0.65,3255,0,0,1796,1796,1423,36,0,0,0,0.437173579
Simulation 37,1,0,0,20,0.65,3259,0,0,2516,2516,719,24,0,0,0,0.220619822
Simulation 38,1,0,0,10,0.65,3258,0,0,1772,1772,1431,55,0,0,0,0.439226519
Simulation 38,1,0,0,20,0.65,3310,0,0,2543,2543,736,31,0,0,0,0.222356495
Simulation 39,1,0,0,10,0.65,3267,0,0,1775,1775,1451,41,0,0,0,0.444138353
Simulation 39,1,0,0,20,0.65,3308,0,0,2530,2530,750,28,0,0,0,0.226723096
Simulation 4,1,0,0,10,0.1,495,0,0,364,364,122,9,0,0,0,0.246464646
Simulation 4,1,0,0,20,0.1,506,0,0,423,423,79,4,0,0,0,0.156126482
Simulation 40,1,0,0,10,0.7,3588,0,0,1913,1913,1622,53,0,0,0,0.45206243
Simulation 40,1,0,0,20,0.7,3497,0,0,2612,2612,851,34,0,0,0,0.243351444
Simulation 41,1,0,0,10,0.7,3529,0,0,1894,1894,1575,60,0,0,0,0.446302069
Simulation 41,1,0,0,20,0.7,3547,0,0,2659,2659,849,39,0,0,0,0.239357203
Simulation 42,1,0,0,10,0.7,3530,0,0,1870,1870,1611,49,0,0,0,0.456373938
Simulation 42,1,0,0,20,0.7,3471,0,0,2685,2685,745,41,0,0,0,0.214635552
Simulation 43,1,0,0,10,0.75,3764,0,0,1843,1843,1871,50,0,0,0,0.497077577
Simulation 43,1,0,0,20,0.75,3746,0,0,2789,2789,911,46,0,0,0,0.243192739
Simulation 44,1,0,0,10,0.75,3750,0,0,2009,2009,1686,55,0,0,0,0.4496
Simulation 44,1,0,0,20,0.75,3739,0,0,2767,2767,926,46,0,0,0,0.247659802
Simulation 45,1,0,0,10,0.75,3750,0,0,1926,1926,1766,58,0,0,0,0.470933333
Simulation 45,1,0,0,20,0.75,3750,0,0,2759,2759,941,50,0,0,0,0.250933333
Simulation 46,1,0,0,10,0.8,3997,0,0,2023,2023,1915,59,0,0,0,0.479109332
Simulation 46,1,0,0,20,0.8,4007,0,0,2924,2924,1050,33,0,0,0,0.262041428
Simulation 47,1,0,0,10,0.8,4024,0,0,1933,1933,2039,52,0,0,0,0.506709742
Simulation 47,1,0,0,20,0.8,3979,0,0,2873,2873,1066,40,0,0,0,0.267906509
Simulation 48,1,0,0,10,0.8,3964,0,0,1984,1984,1917,63,0,0,0,0.483602422
Simulation 48,1,0,0,20,0.8,3978,0,0,2909,2909,1022,47,0,0,0,0.256913022
Simulation 49,1,0,0,10,0.85,4238,0,0,2235,2235,1945,58,0,0,0,0.458942898
Simulation 49,1,0,0,20,0.85,4251,0,0,3078,3078,1119,54,0,0,0,0.263232181
Simulation 5,1,0,0,10,0.1,514,0,0,351,351,159,4,0,0,0,0.309338521
Simulation 5,1,0,0,20,0.1,487,0,0,431,431,49,7,0,0,0,0.100616016
Simulation 50,1,0,0,10,0.85,4275,0,0,2074,2074,2140,61,0,0,0,0.500584795
Simulation 50,1,0,0,20,0.85,4229,0,0,3047,3047,1139,43,0,0,0,0.269330811
Simulation 51,1,0,0,10,0.85,4218,0,0,1970,1970,2177,71,0,0,0,0.516121385
Simulation 51,1,0,0,20,0.85,4284,0,0,3054,3054,1179,51,0,0,0,0.275210084
Simulation 52,1,0,0,10,0.9,4512,0,0,2243,2243,2204,65,0,0,0,0.488475177
Simulation 52,1,0,0,20,0.9,4515,0,0,3213,3213,1244,58,0,0,0,0.275526024
Simulation 53,1,0,0,10,0.9,4498,0,0,2230,2230,2199,69,0,0,0,0.488883948
Simulation 53,1,0,0,20,0.9,4493,0,0,3170,3170,1268,55,0,0,0,0.282216782
Simulation 54,1,0,0,10,0.9,4459,0,0,2201,2201,2187,71,0,0,0,0.490468715
Simulation 54,1,0,0,20,0.9,4522,0,0,3252,3252,1219,51,0,0,0,0.269570986
Simulation 55,1,0,0,10,0.95,4770,0,0,2140,2140,2561,69,0,0,0,0.536897275
Simulation 55,1,0,0,20,0.95,4771,0,0,3385,3385,1340,46,0,0,0,0.280863551
Simulation 56,1,0,0,10,0.95,4715,0,0,2137,2137,2506,72,0,0,0,0.531495228
Simulation 56,1,0,0,20,0.95,4757,0,0,3322,3322,1375,60,0,0,0,0.289047719
Simulation 57,1,0,0,10,0.95,4773,0,0,2252,2252,2451,70,0,0,0,0.513513514
Simulation 57,1,0,0,20,0.95,4755,0,0,3386,3386,1324,45,0,0,0,0.278443743
Simulation 58,1,0,0,10,1,5000,0,0,2243,2243,2681,76,0,0,0,0.5362
Simulation 58,1,0,0,20,1,5000,0,0,3533,3533,1403,64,0,0,0,0.2806
Simulation 59,1,0,0,10,1,5000,0,0,2262,2262,2662,76,0,0,0,0.5324
Simulation 59,1,0,0,20,1,5000,0,0,3382,3382,1565,53,0,0,0,0.313
Simulation 6,1,0,0,10,0.1,487,0,0,334,334,144,9,0,0,0,0.295687885
Simulation 6,1,0,0,20,0.1,512,0,0,427,427,80,5,0,0,0,0.15625
Simulation 60,1,0,0,10,1,5000,0,0,2230,2230,2693,77,0,0,0,0.5386
Simulation 60,1,0,0,20,1,5000,0,0,3419,3419,1527,54,0,0,0,0.3054
Simulation 7,1,0,0,10,0.15,759,0,0,517,517,231,11,0,0,0,0.304347826
Simulation 7,1,0,0,20,0.15,747,0,0,648,648,94,5,0,0,0,0.12583668
Simulation 8,1,0,0,10,0.15,755,0,0,519,519,231,5,0,0,0,0.305960265
Simulation 8,1,0,0,20,0.15,761,0,0,660,660,95,6,0,0,0,0.124835742
Simulation 9,1,0,0,10,0.15,776,0,0,531,531,239,6,0,0,0,0.307989691
Simulation 9,1,0,0,20,0.15,762,0,0,655,655,94,13,0,0,0,0.12335958
